# CMUdict fallback pronunciations converted from ARPAbet
a	IX
accumulatively	IXky'UWmyIXl"EYtIHvlIY
accumulator	IXky'UWmyIXl"EYtER
accumulators	IXky'UWmyIXl"EYtERz
accuracies	'AEkyERIXsIYz
accuracy	'AEkyERIXsIY
accurate	'AEkyERIXt
accurately	'AEkyERIXtlIY
accuray	'AEkyER"EY
accuray's	'AEkyER"EYz
accuride	'AEkyER"AYd
accursed	"AEk'ERst
accurso	AAk'UHrsOW
accusation	"AEkyIXz'EYSHIXn
accusations	"AEkyIXz'EYSHIXnz
accusative	IXky'UWzIXtIHv
accusatory	IXky'UWzIXt"OWrIY
accuse	IXky'UWz
accused	IXky'UWzd
accuser	IXky'UWzER
accusers	IXky'UWzERz
accuses	IXky'UWzIHz
accusing	IXky'UWzIHNG
accusingly	IXky'UWzIHNGlIY
accustom	IXk'AHstIXm
accustomed	IXk'AHstIXmd
accutane	'AEkyUWt"EYn
ace	'EYs
acecomm	'EYskAAm
aced	'EYst
acer	'EYsER
acerbic	IXs'EHrbIHk
acero	IXs'EHrOW
acerra	IXs'EHrIX
aces	'EYsIHz
acetaminophen	IXs"IYtIXm'IHnIXfIXn
acetate	'AEsIXt"EYt
acetic	IXs'EHtIHk
aceto	AAs'EHtOW
acetochlor	AAs'EHtOWkl"OWr
acetone	'AEsIXt"OWn
acetosyringone	IXs"EHtOWs'IHrIHNGgAAn
acetylcholine	IXs"EHtIXLXk'OWlIYn
acetylene	IXs'EHtIXl"IYn
acevedo	AEsIXv'EYdOW
aceves	AAs'EYvEHs
acey	'EYsIY
ach	'EYs'IY'EYtSH
achaean	IXtSH'IYIXn
achatz	'AEkIXts
ache	'EYk
achebe	AAtSH'EYbIY
ached	'EYkt
achee	IXtSH'IY
achenbach	'AEkIHnbAAk
achenbaum	'AEkIXnb"AWm
achene	IXk'IYn
achenes	IXk'IYnz
aches	'EYks
acheson	'AEtSHIXsIXn
acheson's	'AEtSHIXsIXnz
achesons	'AEtSHIXsIXnz
achey	'AEtSHIY
achieva	IXtSH'IYvIX
achievable	IXtSH'IYvIXbIXLX
achieve	IXtSH'IYv
achieved	IXtSH'IYvd
achievement	IXtSH'IYvmIXnt
achievements	IXtSH'IYvmIXnts
achiever	IXtSH'IYvER
achievers	IXtSH'IYvERz
achieves	IXtSH'IYvz
achieving	IXtSH'IYvIHNG
achill	'AEkIHLX
achill's	'AEkIHLXz
achille	IXk'IHlIY
achilles	IXk'IHlIYz
aching	'EYkIHNG
achingly	'EYkIHNGlIY
achmed	'AAhmEHd
achoa	IXtSH'OWIX
achoa's	IXtSH'OWIXz
achoo	"AAtSH'UW
achor	'EYkER
achord	'AEkOWrd
achorn	'AEkERn
achtenberg	'AEktEHnbERg
achterberg	'AEktERbERg
achy	'EYkIY
acid	'AEsIXd
acidic	IXs'IHdIHk
acidification	IXs"IHdIXfIXk'EYSHIXn
acidified	IXs'IHdIXf"AYd
acidifies	IXs'IHdIXf"AYz
acidify	IXs'IHdIXf"AY
acidity	IXs'IHdIXtIY
acidly	'AEsIXdlIY
acidosis	"AEsIXd'OWsIXs
acids	'AEsIXdz
aciduria	"AEsIXd'UHrIYIX
acierno	AAs'IHrnOW
ack	'AEk
acker	'AEkER
acker's	'AEkERz
ackerley	'AEkERlIY
ackerly	'AEkERlIY
ackerman	'AEkERmIXn
ackermann	'AEkERmIXn
ackermanville	'AEkERmIXnvIHLX
ackerson	'AEkERsIXn
ackert	'AEkERt
ackhouse	'AEkh"AWs
ackland	'AEklIXnd
ackles	'AEkIXLXz
ackley	'AEklIY
acklin	'AEklIHn
ackman	'AEkmIXn
acknowledge	AEkn'AAlIHdZH
acknowledgeable	AEkn'AAlIHdZHIXbIXLX
acknowledged	AEkn'AAlIHdZHd
acknowledgement	AEkn'AAlIHdZHmIXnt
acknowledgements	AEkn'AAlIHdZHmIXnts
acknowledges	AEkn'AAlIHdZHIHz
acknowledging	AEkn'AAlIHdZHIHNG
acknowledgment	AEkn'AAlIHdZHmIXnt
acknowledgments	AEkn'AAlIHdZHmIXnts
ackroyd	'AEkr"OYd
ackroyd's	'AEkr"OYdz
acm	"EYs"IY'EHm
acmat	'AEkmAEt
acmat's	'AEkmAEts
acme	'AEkmIY
acme's	'AEkmIYz
acne	'AEknIY
acocella	AAkOWtSH'EHlIX
acoff	'AEkAAf
acog	IXk'AAg
acolyte	'AEkIXl"AYt
acolytes	'AEkIXl"AYts
acomb	'EYkIXm
acord	IXk'OWrd
acordia	IXk'OWrdIYIX
acorn	'EYkOWrn
acorn's	'EYkOWrnz
acorns	'EYkOWrnz
acosta	IXk'AAstIX
acott	'EYkAAt
acoustic	IXk'UWstIHk
acoustical	IXk'UWstIHkIXLX
acoustically	IXk'UWstIHklIY
acoustics	IXk'UWstIHks
acquaint	IXkw'EYnt
acquaintance	IXkw'EYntIXns
acquaintances	IXkw'EYntIXnsIHz
acquaintanceship	IXkw'EYntIXnsSHIHp
acquainted	IXkw'EYntIHd
acquaviva	AAkwAAv'IYvIX
acquiesce	"AEkwIY'EHs
acquiesced	"AEkwIY'EHst
acquiescence	"AEkwIY'EHsIXns
acquiescent	"AEkwIY'EHsIXnt
acquiescing	"AEkwIY'EHsIHNG
acquire	IXkw'AYER
acquired	IXkw'AYERd
acquirer	IXkw'AYERER
acquirer's	IXkw'AYERERz
acquirers	IXkw'AYERERz
acquires	IXkw'AYERz
acquiring	IXkw'AYrIHNG
acquisition	"AEkwIXz'IHSHIXn
acquisition's	"AEkwIXz'IHSHIXnz
acquisitions	"AEkwIXz'IHSHIXnz
acquisitive	IXkw'IHzIXtIHv
acquit	IXkw'IHt
acquitaine	'AEkwIHt"EYn
acquits	IXkw'IHts
acquittal	IXkw'IHtIXLX
acquittals	IXkw'IHtIXLXz
acquitted	IXkw'IHtIHd
acquitting	IXkw'IHtIHNG
acre	'EYkER
acreage	'EYkERIHdZH
acree	IXkr'IY
acres	'EYkERz
acrey	'AEkrIY
acri	'AAkrIY
acrid	'AEkrIHd
acrimonious	"AEkrIXm'OWnIYIXs
acrimony	'AEkrIHm"OWnIY
acro	'AEkrOW
acrobat	'AEkrIXb"AEt
acrobatic	"AEkrIXb'AEtIHk
acrobatics	"AEkrIXb'AEtIHks
acrobats	'AEkrIXb"AEts
acrolein	'AEkrOWl"IYn
acronym	'AEkrIXnIHm
acronyms	'AEkrIXnIHmz
acropolis	IXkr'AApIXlIXs
across	IXkr'AAs
acrylic	IXkr'IHlIHk
acrylics	IXkr'IHlIHks
act	'AEkt
act's	'AEkts
acta	'AEktAA
actava	"AEkt'AAvIX
actava's	"AEkt'AAvIXz
actavas	"AEkt'AAvIXz
acted	'AEktIHd
actel	'AEktEHLX
actigall	'AEktIHgAALX
actin	'AEktIXn
acting	'AEktIHNG
actinide	'AEktIHn"AYd
actinidia	"AEktIHn'IHdIYIX
actinomycosis	"AEkt"IHnOWm"AYk'OWsIHs
action	'AEkSHIXn
action's	'AEkSHIXnz
actionable	'AEkSHIXnIXbIXLX
actions	'AEkSHIXnz
activase	'AEktIHv"EYz
activate	'AEktIXv"EYt
activated	'AEktIXv"EYtIHd
activates	'AEktIXv"EYts
activating	'AEktIXv"EYtIHNG
activation	"AEktIXv'EYSHIXn
activator	'AEktIXv"EYtER
active	'AEktIHv
active's	'AEktIHvz
actively	'AEktIHvlIY
actives	'AEktIHvz
activision	'AEktIHv"IHZHIXn
activism	'AEktIHv"IHzIXm
activist	'AEktIXvIXst
activists	'AEktIXvIXsts
activities	AEkt'IHvIXtIYz
activity	AEkt'IHvIXtIY
actmedia	AEktm'IYdIYIX
actodine	'AEktOWd"AYn
acton	'AEktIXn
actor	'AEktER
actor's	'AEktERz
actors	'AEktERz
actress	'AEktrIXs
actress's	'AEktrIXsIHz
actresses	'AEktrIXsIHz
acts	'AEkts
actual	'AEktSHIXwIXLX
actuality	"AEktSHUW'AElIXt"IY
actualize	'AEktSH"UWIXl"AYz
actually	'AEktSH"UWIXlIY
actuarial	"AEktSH"UW'EHrIYIXLX
actuaries	'AEktSH"UW'EHr"IYz
actuary	'AEktSHUW'EHr"IY
actuate	'AEktSH"UW'EYt
actuator	'AEktyUW"EYtER
actuators	'AEktyUW"EYtERz
actus	'AEktIXs
acuff	IXk'AHf
acuity	IXky'UWIXtIY
acumen	IXky'UWmIXn
acuna	AAk'UWnIX
acupuncture	'AEkyUWp"AHNGktSHER
acura	'AEkyERIX
acura's	'AEkyERIXz
acuras	'AEkyERIXz
acuson	"AEky'UWsIXn
acustar	'AEkyUWst"AAr
acusyst	'AEkyUWsIHst
acute	IXky'UWt
acutely	IXky'UWtlIY
acuteness	IXky'UWtnIXs
acyclovir	IXs'IHklOWv"IHr
ad	'AEd
ad's	'AEdz
ada	'EYdIX
ada's	'EYdIXz
